"Aplicação do recurso","Especificação do material ou serviço","",""
"Capital"," Aparelho de ar condicionado evaporadora","",""
"Capital"," Aparelho de bioimpedancia","",""
"Capital"," Aparelho de cardiotocografo","",""
"Capital"," Aparelho de depilacao","",""
"Capital"," Aparelho de diatermia","",""
"Capital"," Aparelho de dvd","",""
"Capital"," Aparelho de eletro estimulacao","",""
"Capital"," Aparelho de eletroresistividade","",""
"Capital"," Aparelho de eletroterapia","",""
"Capital"," Aparelho de fax","",""
"Capital"," Aparelho de fax","",""
"Capital"," Aparelho de fonte de luz","",""
"Capital"," Aparelho de fotopolimerizador","",""
"Capital"," Aparelho de fototerapia","",""
"Capital"," Aparelho de infra vermelho","",""
"Capital"," Aparelho de ionizacao","",""
"Capital"," Aparelho de jateamento por succao","",""
"Capital"," Aparelho de laser microprocessado","",""
"Capital"," Aparelho de laserterapia","",""
"Capital"," Aparelho de mergulho","",""
"Capital"," Aparelho de microcorrentes","",""
"Capital"," Aparelho de mp3","",""
"Capital"," Aparelho de ondas curtas","",""
"Capital"," Aparelho de osmose reversa","",""
"Capital"," Aparelho de perfilagem eletrica","",""
"Capital"," Aparelho de profilaxia","",""
"Capital"," Aparelho de raio laser","",""
"Capital"," Aparelho de raio x","",""
"Capital"," Aparelho de retifica de valvulas","",""
"Capital"," Aparelho de telex","",""
"Capital"," Aparelho de treinamento de fala","",""
"Capital"," Aparelho de ultra som","",""
"Capital"," Aparelho de videoke","",""
"Capital"," Aparelho diatermia","",""
"Capital"," Aparelho facial","",""
"Capital"," Aparelho fonte de alimentacao regulada","",""
"Capital"," Aparelho fotopolimerizador","",""
"Capital"," Aparelho fumigador","",""
"Capital"," Aparelho gerador de ozonio","",""
"Capital"," Aparelho headset","",""
"Capital"," Aparelho hidropneumatico","",""
"Capital"," Aparelho homogenizador","",""
"Capital"," Aparelho infra-vermelho","",""
"Capital"," Aparelho mini-doppler","",""
"Capital"," Aparelho nebulizador","",""
"Capital"," Aparelho para aspiracao","",""
"Capital"," Aparelho para bioquimica","",""
"Capital"," Aparelho para bobina","",""
"Capital"," Aparelho para descontaminacao ","",""
"Capital"," Aparelho para leitura","",""
"Capital"," Aparelho para lixar pe","",""
"Capital"," Aparelho para medir pressao arterial","",""
"Capital"," Aparelho para telemarketing","",""
"Capital"," Aparelho para teste de telefone","",""
"Capital"," Aparelho para teste ergometrico","",""
"Capital"," Aparelho pbx","",""
"Capital"," Aparelho phlebo press","",""
"Capital"," Aparelho rebobinador","",""
"Capital"," Aparelho ressucitador pulmotor","",""
"Capital"," Aparelho sequencial","",""
"Capital"," Aparelho spinlight ","",""
"Capital"," Aparelho telefonico","",""
"Capital"," Aparelho telefonico ks","",""
"Capital"," Aparelho telefonico pabx","",""
"Capital"," Aparelho telefonico sem fio","",""
"Capital"," Aparelho tens","",""
"Capital"," Aparelho terminal ks inteligente","",""
"Capital"," Aparelho tira mofo","",""
"Capital"," Aparelho tirfor ","",""
"Capital"," Aparelho vibrador de gesso","",""
"Capital"," Aplicador de cera","",""
"Capital"," Aplicador de cola","",""
"Capital"," Aquecedor de agua","",""
"Capital"," Aquecedor de agua a gas","",""
"Capital"," Aquecedor de ambiente","",""
"Capital"," Aquecedor de mamadeira","",""
"Capital"," Aquecedor de marmitas","",""
"Capital"," Aquecedor infra vermelho","",""
"Capital"," Arara","",""
"Capital"," Armario","",""
"Capital"," Armario auxiliar","",""
"Capital"," Armario de aco","",""
"Capital"," Armario de madeira","",""
"Capital"," Armario de parede","",""
"Capital"," Arqueadeira","",""
"Capital"," Arqueadora de molas","",""
"Capital"," Arquivo de aco","",""
"Capital"," Arquivo de madeira","",""
"Capital"," Arquivo deslizante","",""
"Capital"," Aspirador cirurgico","",""
"Capital"," Aspirador de agua","",""
"Capital"," Aspirador de po","",""
"Capital"," Aspirador de po e agua","",""
"Capital"," Aspirador e jateador de ar","",""
"Capital"," Aspirador hospitalar","",""
"Capital"," Atabaque","",""
"Capital"," Atomizador","",""
"Capital"," Atomizador costal","",""
"Capital"," Audiometro","",""
"Capital"," Auscutador fetal","",""
"Capital"," Autenticadora","",""
"Capital"," Auto bomba","",""
"Capital"," Auto radio","",""
"Capital"," Auto salvamento","",""
"Capital"," Autoclave","",""
"Capital"," Badisco","",""
"Capital"," Bafometro","",""
"Capital"," Baia para atendimento","",""
"Capital"," Baixo","",""
"Capital"," Baixo tuba","",""
"Capital"," Balanca antropometrica","",""
"Capital"," Balanca eletronica","",""
"Capital"," Balanca mecanica","",""
