"Aplicação do recurso","Especificação do material ou serviço","",""
"Capital"," Decodificador","",""
"Capital"," Decodificador de codigo de barra","",""
"Capital"," Deionizador","",""
"Capital"," Delay","",""
"Capital"," Densitometro","",""
"Capital"," Depurador de ar","",""
"Capital"," Desempenadeira","",""
"Capital"," Desengrossadeira","",""
"Capital"," Desentupidor de esgoto","",""
"Capital"," Desenvolvimento de ombros","",""
"Capital"," Desfibrilador","",""
"Capital"," Desgravador e renovador de fita magnetica k7","",""
"Capital"," Desintegrador","",""
"Capital"," Desmontadora hidraulica de pneus","",""
"Capital"," Destilador de agua","",""
"Capital"," Desumidificador de ar","",""
"Capital"," Desumidificador de papel","",""
"Capital"," Detector de batimento cardiaco fetal","",""
"Capital"," Detector de metais","",""
"Capital"," Detector de tubulacoes","",""
"Capital"," Detector de vazamento","",""
"Capital"," Detector de veiculos","",""
"Capital"," Detector fetal","",""
"Capital"," Dialer p/chamadas telefonicas automaticas","",""
"Capital"," Digital delay","",""
"Capital"," Digitalizador","",""
"Capital"," Digitalizadora de microfilme","",""
"Capital"," Diluidor","",""
"Capital"," Dinamometro","",""
"Capital"," Dinamometro dorsal","",""
"Capital"," Direct box","",""
"Capital"," Disc laser","",""
"Capital"," Discman","",""
"Capital"," Disk array","",""
"Capital"," Dispensette digital","",""
"Capital"," Display expositor","",""
"Capital"," Dispositivo hidraulico","",""
"Capital"," Distanciometro","",""
"Capital"," Distribuidor de audio","",""
"Capital"," Distribuidor de sinal","",""
"Capital"," Ditafone","",""
"Capital"," Diva","",""
"Capital"," Diva ginecologico","",""
"Capital"," Dobradeira de papel","",""
"Capital"," Doppler vascular","",""
"Capital"," Dosador de nivel constante","",""
"Capital"," Driver de compressao","",""
"Capital"," Duplicador de cd","",""
"Capital"," Duplicador de quad","",""
"Capital"," Duplicador digital","",""
"Capital"," Dvd player com karaoke","",""
"Capital"," Dvd player e video cassete","",""
"Capital"," Eletro neuromiografo","",""
"Capital"," Eletrocardiografo","",""
"Capital"," Eletrocauterio","",""
"Capital"," Eletroencefalograma","",""
"Capital"," Eletroestimulador","",""
"Capital"," Eletroestimulador diadinamico","",""
"Capital"," Eletrola","",""
"Capital"," Eletrola portatil","",""
"Capital"," Eletronistagmografo","",""
"Capital"," Elevador de canecas","",""
"Capital"," Elevador de veiculos","",""
"Capital"," Eliminador de microfonia","",""
"Capital"," Embaladeira","",""
"Capital"," Embalador de guarda-chuvas molhados","",""
"Capital"," Emissor de senha","",""
"Capital"," Empilhadeira","",""
"Capital"," Encadernadora","",""
"Capital"," Enceradeira","",""
"Capital"," Endoscopio","",""
"Capital"," Engraxadeira","",""
"Capital"," Enroladeira de filmes","",""
"Capital"," Episcopio","",""
"Capital"," Equalizador","",""
"Capital"," Equalizador de som","",""
"Capital"," Equalizador grafico","",""
"Capital"," Equipamento de teste de injetor e motor de passo","",""
"Capital"," Equipamento dieselimpo","",""
"Capital"," Equipamento para jateamento","",""
"Capital"," Equipamento para limpeza e teste de injetores","",""
"Capital"," Equipo odontologico","",""
"Capital"," Escada","",""
"Capital"," Escada de aluminio","",""
"Capital"," Escada de canto","",""
"Capital"," Escada de madeira","",""
"Capital"," Escada extensivel","",""
"Capital"," Escada para diva","",""
"Capital"," Escada para fisioterapia","",""
"Capital"," Escaleta","",""
"Capital"," Escaninho","",""
"Capital"," Escaninho de madeira","",""
"Capital"," Esclerometro","",""
"Capital"," Escorregador","",""
"Capital"," Escrivaninha","",""
"Capital"," Escrivaninha de aco","",""
"Capital"," Escrivaninha de madeira","",""
"Capital"," Esfectropometro","",""
"Capital"," Esfigmomanometro","",""
"Capital"," Esguicho canhao","",""
"Capital"," Esmaltadeira","",""
"Capital"," Esmeril","",""
"Capital"," Esmeril de bancada","",""
"Capital"," Esmerilhadeira","",""
"Capital"," Esmerilhadeira angular","",""
"Capital"," Espaldar de madeira","",""
"Capital"," Espectrofotometro","",""
"Capital"," Espelho","",""
"Capital"," Espingarda","",""
"Capital"," Espirometro","",""
"Capital"," Espremedor","",""
"Capital"," Espremedor de frutas","",""
"Capital"," Espremedor de legumes","",""
"Capital"," Espremedor de sucos","",""
"Capital"," Esquadrejadeira","",""
"Capital"," Esqui","",""
"Capital"," Estabiliazdor de voltagem","",""
"Capital"," Estacao de musculacao","",""
"Capital"," Estacao de solda","",""
"Capital"," Estacao de trabalho","",""
"Capital"," Estacao fixa","",""
"Capital"," Estacao repetidora","",""
"Capital"," Estacao total","",""
"Capital"," Estadiometro","",""
"Capital"," Estante para partitura","",""
"Capital"," Estante sinfonica","",""
"Capital"," Estativa para raio x","",""
"Capital"," Esteira","",""
"Capital"," Esteira eletrica","",""
"Capital"," Esteira ergometrica","",""
"Capital"," Estereomicroscopio","",""
"Capital"," Estereoscopio","",""
"Capital"," Esterilizador de ar","",""
"Capital"," Esterilizador de mamadeira","",""
"Capital"," Esterilizador de xicaras","",""
"Capital"," Estetoscopio","",""
"Capital"," Esticador e encolhedor universal","",""
"Capital"," Esticador hidraulico","",""
"Capital"," Estimulador calorico","",""
"Capital"," Estimulador de musculo","",""
"Capital"," Estimulador optocinetico","",""
"Capital"," Estimulador visual","",""
"Capital"," Estojo de curvas","",""
"Capital"," Estojo de desenho","",""
"Capital"," Estrado de madeira","",""
"Capital"," Estufa para alimentos","",""
"Capital"," Estufa para placas filtrantes","",""
"Capital"," Estufa para ressecagem","",""
"Capital"," Estufa para secagem de filme","",""
"Capital"," Esvrivaninha","",""
"Capital"," Etiquetador","",""
"Capital"," Etiquetadora","",""
"Capital"," Exaustor","",""
"Capital"," Exaustor para camara escura","",""
"Capital"," Exercitador de tornozelo","",""
"Capital"," Expansor hidraulico","",""
"Capital"," Expositor de folders","",""
"Capital"," Expositor giratorio","",""
"Capital"," Extintor de incendio","",""
"Capital"," Extrator de suco","",""
"Capital"," Faca eletrica","",""
"Capital"," Fagoto em do","",""
"Capital"," Feeder seat","",""
"Capital"," Ferro de engomar","",""
"Capital"," Ferro de passar roupa","",""
"Capital"," Fesvif","",""
"Capital"," Fichario de aco","",""
"Capital"," Fichario de acrilico","",""
"Capital"," Fichario de madeira","",""
"Capital"," Filmadora","",""
"Capital"," Filtro de agua","",""
"Capital"," Filtro para piscina","",""
"Capital"," Filtro prensa","",""
"Capital"," Filtro regulador de ar","",""
"Capital"," Finca pinos","",""
"Capital"," Flanelografo","",""
"Capital"," Flash","",""
"Capital"," Flauta","",""
"Capital"," Flautin","",""
"Capital"," Flip chart","",""
"Capital"," Floreira modulavel","",""
"Capital"," Flugel horn","",""
"Capital"," Fluxometro","",""
"Capital"," Foco cirurgico","",""
"Capital"," Fogao domiciliar","",""
"Capital"," Fogao industrial","",""
"Capital"," Fogareiro","",""
"Capital"," Fone de cabeca","",""
"Capital"," Fonte conversor","",""
"Capital"," Fonte de alimentacao","",""
"Capital"," Fonte estabilizadora","",""
"Capital"," Forno","",""
"Capital"," Forno de bier","",""
"Capital"," Forno de microondas","",""
"Capital"," Forno eletrico","",""
"Capital"," Forno eletrico para ceramica","",""
"Capital"," Forrador de botao","",""
"Capital"," Fotocopiadora","",""
"Capital"," Fotoestimulador","",""
"Capital"," Fotoforo","",""
"Capital"," Fotometro","",""
"Capital"," Fotopolimerizador odontologico","",""
"Capital"," Fragmentadora de papeis","",""
"Capital"," Franqueadora de correspondencia","",""
"Capital"," Freezer","",""
"Capital"," Frequencimetro","",""
"Capital"," Fresadora","",""
"Capital"," Fritadeira","",""
"Capital"," Furadeira","",""
"Capital"," Furadeira de pedestal","",""
"Capital"," Furadeira de tecido","",""
"Capital"," Furador de azulejos","",""
"Capital"," Furgao de aluminio","",""
"Capital"," Gabarito","",""
"Capital"," Gabinete acustico","",""
"Capital"," Gabinete de pia","",""
"Capital"," Gabinete kardex","",""
"Capital"," Gaiola labirinto","",""
"Capital"," Gaita","",""
"Capital"," Gangorra","",""
"Capital"," Ganza","",""
"Capital"," Gastroscopio","",""
"Capital"," Gaveta de aco inoxidavel","",""
"Capital"," Gaveteiro","",""
"Capital"," Gaveteiro de aco","",""
"Capital"," Gaveteiro de madeira","",""
"Capital"," Gaveteiro volante","",""
"Capital"," Geofone","",""
"Capital"," Gerador de acetileno","",""
"Capital"," Gerador de efeitos especiais para video","",""
"Capital"," Gerador de forca","",""
"Capital"," Gerador de ozona","",""
"Capital"," Gerador de ozonio","",""
"Capital"," Gerador de ruidos","",""
"Capital"," Gerador de solda","",""
"Capital"," Gerador eletrico","",""
"Capital"," Gerador para raio x","",""
"Capital"," Gira gira","",""
"Capital"," Giraplay","",""
"Capital"," Globo de bingo","",""
"Capital"," Glokenspiel","",""
"Capital"," Gondola","",""
"Capital"," Gongo","",""
"Capital"," Gps","",""
"Capital"," Grampeador","",""
"Capital"," Grampeadora","",""
"Capital"," Gravador cassete","",""
"Capital"," Gravador de audio","",""
"Capital"," Gravador de cd","",""
"Capital"," Gravador de dvd","",""
"Capital"," Gravador de dvd e cd","",""
"Capital"," Gravador de fita cassete","",""
"Capital"," Gravador de fita magnetica","",""
"Capital"," Gravador de rolo","",""
"Capital"," Gravador de som","",""
"Capital"," Gravador de video","",""
"Capital"," Gravador e reprodutor de mini disc","",""
"Capital"," Gravadora de cd","",""
"Capital"," Gravadora de estencil","",""
"Capital"," Grupo gerador","",""
"Capital"," Guara-roupa de aco","",""
"Capital"," Guarda roupa","",""
"Capital"," Guarda roupa de aco","",""
"Capital"," Guarda roupa de madeira","",""
"Capital"," Guarda rouppa de aco","",""
"Capital"," Guarda tudo","",""
"Capital"," Guarda volumes","",""
"Capital"," Guarita","",""
"Capital"," Guarita de fibra de vidro","",""
"Capital"," Guilhotina","",""
"Capital"," Guincho","",""
"Capital"," Guindaste","",""
"Capital"," Guitarra","",""
"Capital"," Gyrotec","",""
"Capital"," Hamper","",""
"Capital"," Handie talkie","",""
"Capital"," Handie-talkie-fm-220","",""
"Capital"," Hidrolavadora universal","",""
"Capital"," Histerometro","",""
"Capital"," Home theater","",""
"Capital"," Homogeneizador de sangue","",""
"Capital"," Horodatador","",""
"Capital"," Hub","",""
"Capital"," Identificador radiografico","",""
"Capital"," Iluminador de led","",""
"Capital"," Imitanciometro","",""
"Capital"," Impedanciometro","",""
"Capital"," Impressora","",""
"Capital"," Impressora braille","",""
"Capital"," Impressora plotter","",""
"Capital"," Impressora termica","",""
"Capital"," Inalador","",""
"Capital"," Inclusor a vacuo","",""
"Capital"," Incubador biologico","",""
"Capital"," Incubadora","",""
"Capital"," Intercomunicador","",""
"Capital"," Interfone","",""
"Capital"," Inversor","",""
"Capital"," Inversor de frequencia","",""
"Capital"," Inversor de polos","",""
"Capital"," Inversor de tensao","",""
"Capital"," Jet ski","",""
"Capital"," Jogo de compasso","",""
"Capital"," Jogo de coordenatografo polar","",""
"Capital"," Jogo de curvas","",""
"Capital"," Jogo de estofado","",""
"Capital"," Jogo de reguas de curvas","",""
"Capital"," Kardex","",""
"Capital"," Kardex de aco","",""
"Capital"," Kit visodisc","",""
"Capital"," Laminadora","",""
"Capital"," Lampada de fenda","",""
"Capital"," Lampada de ponto","",""
"Capital"," Lampada de ponto digital","",""
"Capital"," Lanca","",""
"Capital"," Lancha","",""
"Capital"," Laptop","",""
"Capital"," Laringoscopio","",""
"Capital"," Lavadora de alta pressao","",""
"Capital"," Lavadora de instrumentos cirurgico","",""
"Capital"," Lavadora de pecas","",""
"Capital"," Lavadora de pisos","",""
"Capital"," Lavatorio de cabelereiro","",""
"Capital"," Leg press","",""
"Capital"," Leitor de codigo de barras","",""
"Capital"," Leitor de microficha","",""
"Capital"," Leitor de microfilme","",""
"Capital"," Leitor optico","",""
"Capital"," Lensometro","",""
"Capital"," Limpadora de fita","",""
"Capital"," Line force","",""
"Capital"," Liquidificador","",""
"Capital"," Lira musical","",""
"Capital"," Lixadeira","",""
"Capital"," Lixadeira automatica de rolo","",""
"Capital"," Lixadeira orbital","",""
"Capital"," Localizador de metal","",""
"Capital"," Lona para circo","",""
"Capital"," Longarina","",""
"Capital"," Longarina para auditorio","",""
"Capital"," Lousa","",""
"Capital"," Luneta","",""
"Capital"," Lupa eletronica","",""
"Capital"," Luximetro","",""
"Capital"," Maca","",""
"Capital"," Macaco hidraulico","",""
"Capital"," Macarico","",""
"Capital"," Mala","",""
"Capital"," Mala de aluminio","",""
"Capital"," Mala para projetor de slides","",""
"Capital"," Mala para transporte de camera de televisao","",""
"Capital"," Mala para transporte de camera de video","",""
"Capital"," Mala para video cassete","",""
"Capital"," Maleta","",""
"Capital"," Maleta para transmissao de microfone","",""
"Capital"," Maleta para transporte","",""
"Capital"," Mancebo","",""
"Capital"," Manequim","",""
"Capital"," Manequim c/ pedestal de madeira","",""
"Capital"," Manequin de madeira","",""
"Capital"," Manometro","",""
"Capital"," Manometro de mercurio","",""
"Capital"," Manometro digital","",""
"Capital"," Manometro indicador","",""
"Capital"," Manometro seco","",""
"Capital"," Mapoteca","",""
"Capital"," Mapoteca de aco","",""
"Capital"," Mapoteca de madeira","",""
"Capital"," Maq. De franquear correspondencia","",""
"Capital"," Maquima fotografica","",""
"Capital"," Maquina chimbau","",""
"Capital"," Maquina de acabamento de cabelo","",""
"Capital"," Maquina de algodao doce","",""
"Capital"," Maquina de arquear molas","",""
"Capital"," Maquina de assinar","",""
"Capital"," Maquina de back lapping","",""
"Capital"," Maquina de bordar","",""
"Capital"," Maquina de consertar camaras de ar","",""
"Capital"," Maquina de contabilidade","",""
"Capital"," Maquina de cortar azulejo","",""
"Capital"," Maquina de cortar cabelo","",""
"Capital"," Maquina de cortar ferro","",""
"Capital"," Maquina de cortar frios","",""
"Capital"," Maquina de cortar garrafas","",""
"Capital"," Maquina de cortar isopor","",""
"Capital"," Maquina de cortar pedra","",""
"Capital"," Maquina de cortar pelicula refletiva","",""
"Capital"," Maquina de cortar tecido","",""
"Capital"," Maquina de costura","",""
"Capital"," Maquina de desmontar pneu","",""
"Capital"," Maquina de escerar","",""
"Capital"," Maquina de escrever","",""
"Capital"," Maquina de escrever eletrica","",""
"Capital"," Maquina de escrever eletronica","",""
"Capital"," Maquina de escrever em braille","",""
"Capital"," Maquina de escrever mecanica","",""
"Capital"," Maquina de estampar","",""
"Capital"," Maquina de fabricar blocos","",""
"Capital"," Maquina de fabricar lajotas","",""
"Capital"," Maquina de fazer fralda","",""
"Capital"," Maquina de fixar ilhos","",""
"Capital"," Maquina de forrar botoes","",""
"Capital"," Maquina de fumaca","",""
"Capital"," Maquina de furar e rosquear","",""
"Capital"," Maquina de furar rede em carga","",""
"Capital"," Maquina de gelo","",""
"Capital"," Maquina de imprimir em alto relevo","",""
"Capital"," Maquina de lavar louca","",""
"Capital"," Maquina de lavar pecas","",""
"Capital"," Maquina de lavar roupas","",""
"Capital"," Maquina de raspar tacos c/ motor monofasico","",""
"Capital"," Maquina de solda","",""
"Capital"," Maquina de solda e corte","",""
"Capital"," Maquina de trico","",""
"Capital"," Maquina de xerox","",""
"Capital"," Maquina desobstruidora de esgotos","",""
"Capital"," Maquina fotografica","",""
"Capital"," Maquina heliografica","",""
"Capital"," Maquina impressora","",""
"Capital"," Maquina impressora manual","",""
"Capital"," Maquina impressora off-set","",""
"Capital"," Maquina melheteira","",""
"Capital"," Maquina p/fabricar blocos de concreto","",""
"Capital"," Maquina para arquear","",""
"Capital"," Maquina para bordar","",""
"Capital"," Maquina para cartao magnetico","",""
"Capital"," Maquina para confeccionar sacos","",""
"Capital"," Maquina para desmontar pneu","",""
"Capital"," Maquina para embalagem","",""
"Capital"," Maquina para empatar mangueiras","",""
"Capital"," Maquina para gravacao","",""
"Capital"," Maquina para gravacao de livros","",""
"Capital"," Maquina para imprimir em alto relevo","",""
"Capital"," Maquina para personalizar","",""
"Capital"," Maquina para projecao de plantas","",""
"Capital"," Maquina para trabalhar marmore e granito","",""
"Capital"," Maquina plastificadora eletrica","",""
"Capital"," Maquina redutora","",""
"Capital"," Maquina registradora","",""
"Capital"," Maquina respigadeira","",""
"Capital"," Marcador de faltas","",""
"Capital"," Marginador de papel","",""
"Capital"," Martelete","",""
"Capital"," Martelete perfurador","",""
"Capital"," Martelo de perfuracao","",""
"Capital"," Martelo demolidor","",""
"Capital"," Martelo para reflexo","",""
"Capital"," Martelo perfurador","",""
"Capital"," Martelo rompedor","",""
"Capital"," Mascara autonoma","",""
"Capital"," Mascara facial","",""
"Capital"," Mastro para bandeira","",""
"Capital"," Mastros para rede de voley","",""
"Capital"," Medidor de altura","",""
"Capital"," Medidor de campo","",""
"Capital"," Medidor de compressao","",""
"Capital"," Medidor de condutividade","",""
"Capital"," Medidor de diametro","",""
"Capital"," Medidor de espessura","",""
"Capital"," Medidor de glicose","",""
"Capital"," Medidor de nivel de som","",""
"Capital"," Medidor de ph","",""
"Capital"," Medidor de pressao","",""
"Capital"," Medidor de resistencia de terra","",""
"Capital"," Medidor de tensao de correia","",""
"Capital"," Medidor de vibracao","",""
"Capital"," Medidor de voltagem","",""
"Capital"," Medidor fotocolorimetrico","",""
"Capital"," Megafone","",""
"Capital"," Megatoscopio de mesa","",""
"Capital"," Megometro","",""
"Capital"," Melofone","",""
"Capital"," Mesa","",""
"Capital"," Mesa aero hockey","",""
"Capital"," Mesa antropometrica","",""
"Capital"," Mesa articulavel","",""
"Capital"," Mesa auxiliar hospitalar","",""
"Capital"," Mesa central infantil","",""
"Capital"," Mesa cilindrica","",""
"Capital"," Mesa cirurgica","",""
"Capital"," Mesa controladora","",""
"Capital"," Mesa de aco","",""
"Capital"," Mesa de apoio","",""
"Capital"," Mesa de atendimento","",""
"Capital"," Mesa de bilhar","",""
"Capital"," Mesa de cabeceira","",""
"Capital"," Mesa de canto","",""
"Capital"," Mesa de centro","",""
"Capital"," Mesa de comando","",""
"Capital"," Mesa de comando de raio x","",""
"Capital"," Mesa de controle","",""
"Capital"," Mesa de exame","",""
"Capital"," Mesa de fibra de vidro","",""
"Capital"," Mesa de formica","",""
"Capital"," Mesa de higienizacao","",""
"Capital"," Mesa de iluminacao","",""
"Capital"," Mesa de luz","",""
"Capital"," Mesa de madeira","",""
"Capital"," Mesa de madeira infantil adaptada","",""
"Capital"," Mesa de manicuri","",""
"Capital"," Mesa de mayo","",""
"Capital"," Mesa de merenda","",""
"Capital"," Mesa de mixagem","",""
"Capital"," Mesa de passar roupa","",""
"Capital"," Mesa de pebolim","",""
"Capital"," Mesa de ping pong","",""
"Capital"," Mesa de reanimacao de recem nascidos","",""
"Capital"," Mesa de reproducao","",""
"Capital"," Mesa de som","",""
"Capital"," Mesa de tamancobol","",""
"Capital"," Mesa de trabalho","",""
"Capital"," Mesa de xadres","",""
"Capital"," Mesa digitalizadora","",""
"Capital"," Mesa diva","",""
"Capital"," Mesa elastica","",""
"Capital"," Mesa empilhavel","",""
"Capital"," Mesa ergonomica","",""
"Capital"," Mesa escolar","",""
"Capital"," Mesa escolar especial","",""
"Capital"," Mesa executiva","",""
"Capital"," Mesa expositora","",""
"Capital"," Mesa ginecologica","",""
"Capital"," Mesa infantil","",""
"Capital"," Mesa lateral","",""
"Capital"," Mesa mixadora","",""
"Capital"," Mesa obstetrica","",""
"Capital"," Mesa operadora","",""
"Capital"," Mesa ortopedica","",""
"Capital"," Mesa para cafe","",""
"Capital"," Mesa para copa","",""
"Capital"," Mesa para costura","",""
"Capital"," Mesa para desenho","",""
"Capital"," Mesa para exame clinico","",""
"Capital"," Mesa para fisioterapia","",""
"Capital"," Mesa para futebol de botao","",""
"Capital"," Mesa para impressora","",""
"Capital"," Mesa para maquina de escrever","",""
"Capital"," Mesa para microcomputador","",""
"Capital"," Mesa para microcomputador e impressora","",""
"Capital"," Mesa para microfilmadora","",""
"Capital"," Mesa para mimeografo","",""
"Capital"," Mesa para necropsia","",""
"Capital"," Mesa para pantografo","",""
"Capital"," Mesa para posto de trabalho","",""
"Capital"," Mesa para professor","",""
"Capital"," Mesa para projecao","",""
"Capital"," Mesa para raio x","",""
"Capital"," Mesa para recepcao","",""
"Capital"," Mesa para refeicao","",""
"Capital"," Mesa para refeitorio","",""
"Capital"," Mesa para reuniao","",""
"Capital"," Mesa para silk screen","",""
"Capital"," Mesa para telefone","",""
"Capital"," Mesa para televisao e video","",""
"Capital"," Mesa para terminal de teleprocessamento","",""
"Capital"," Mesa para trabalho","",""
"Capital"," Mesa para tv","",""
"Capital"," Mesa para video e projetor","",""
"Capital"," Mesa peninsular","",""
"Capital"," Mesa plastica","",""
"Capital"," Mesa plenario","",""
"Capital"," Mesa rotativa para impressao","",""
"Capital"," Mesa trapezoidal","",""
"Capital"," Mesa universitaria de madeira","",""
"Capital"," Metalofone","",""
"Capital"," Meteorografo","",""
"Capital"," Metronomo","",""
"Capital"," Micro camera","",""
"Capital"," Micro esterilizador","",""
"Capital"," Micro ressuscitador","",""
"Capital"," Micro trator","",""
"Capital"," Microcomputador","",""
"Capital"," Microfilmadora","",""
"Capital"," Microfone","",""
"Capital"," Microfone de lapela","",""
"Capital"," Microfone de transmissao para transceptor fixo","",""
"Capital"," Microfone sem fio","",""
"Capital"," Microscopio","",""
"Capital"," Microsystem","",""
"Capital"," Microverb 4","",""
"Capital"," Mimeografo","",""
"Capital"," Mini bloqueio","",""
"Capital"," Mini bombeiro","",""
"Capital"," Mini bugue","",""
"Capital"," Mini gravador digital","",""
"Capital"," Mini rack","",""
"Capital"," Mini system","",""
"Capital"," Mini trampolin","",""
"Capital"," Minicomputador","",""
"Capital"," Mira direta","",""
"Capital"," Mira invertida de madeira","",""
"Capital"," Misturador de microfones","",""
"Capital"," Misturador de som","",""
"Capital"," Misturador forcado para argamasssa","",""
"Capital"," Mixer","",""
"Capital"," Modem","",""
"Capital"," Modulo de potencia","",""
"Capital"," Moedor de carne","",""
"Capital"," Moldura com espelho","",""
"Capital"," Monitor cardiaco","",""
"Capital"," Monitor de audio e video","",""
"Capital"," Monitor de circuito interno de tv","",""
"Capital"," Monitor de frequencia cardiaca","",""
"Capital"," Monitor de glicemia","",""
"Capital"," Monitor de linhas","",""
"Capital"," Monitor de ventilacao","",""
"Capital"," Monitor de video","",""
"Capital"," Monitor de video para camera de televisao","",""
"Capital"," Monitor fetal","",""
"Capital"," Monitor multiparametrico","",""
"Capital"," Monitor para camera de seguranca","",""
"Capital"," Monitor para microcomputador","",""
"Capital"," Monitor para servidor","",""
"Capital"," Monitor para ultra som","",""
"Capital"," Monociclo","",""
"Capital"," Montadora e desmontadora de pneus","",""
"Capital"," Morsa","",""
"Capital"," Moto","",""
"Capital"," Moto esmeril","",""
"Capital"," Motobomba","",""
"Capital"," Motobomba hidraulica","",""
"Capital"," Motocicleta","",""
"Capital"," Motopodadeira","",""
"Capital"," Motor de popa","",""
"Capital"," Motoserra","",""
"Capital"," Mouse","",""
"Capital"," Mp4","",""
"Capital"," Multi exercitador","",""
"Capital"," Multicabo","",""
"Capital"," Multigate","",""
"Capital"," Multimetro","",""
"Capital"," Multiprocessador","",""
"Capital"," Multiprocessador de efeitos de audio","",""
"Capital"," Multitest","",""
"Capital"," Mural","",""
"Capital"," Negatoscopio","",""
"Capital"," Netebook","",""
"Capital"," Nivel","",""
"Capital"," Nobelfone","",""
"Capital"," Nobreak","",""
"Capital"," Normografo","",""
"Capital"," Notebook","",""
"Capital"," Numerador automatico","",""
"Capital"," Numerador para marcar baterias e pneus","",""
"Capital"," Numerador para marcar pneus","",""
"Capital"," Objetiva","",""
"Capital"," Oboe","",""
"Capital"," Obra de arte","",""
"Capital"," Oftalmometro","",""
"Capital"," Oftalmoscopio","",""
"Capital"," Oftalmoscopio de coluna","",""
"Capital"," Oleo s/duratex circular","",""
"Capital"," Oleo s/tela","",""
"Capital"," Oratorio","",""
"Capital"," Osciloscopio","",""
"Capital"," Oto oftalmoscopio","",""
"Capital"," Otocalorimetro","",""
"Capital"," Otoscopio","",""
"Capital"," Oximetro","",""
"Capital"," Oxitenda","",""
"Capital"," Painel confeccionado em duratex e madeira","",""
"Capital"," Painel de aco","",""
"Capital"," Painel de eucatex c/moldura de madeira","",""
"Capital"," Painel de madeira","",""
"Capital"," Painel de mensagem","",""
"Capital"," Painel de parede","",""
"Capital"," Painel de processamento","",""
"Capital"," Painel eletronico","",""
"Capital"," Painel expositor","",""
"Capital"," Painel fotografico","",""
"Capital"," Painel para exposicao","",""
"Capital"," Painel para uti","",""
"Capital"," Palco","",""
"Capital"," Palete de madeira","",""
"Capital"," Palm top","",""
"Capital"," Palvilhadeira","",""
"Capital"," Pandeiro","",""
"Capital"," Paneleiro","",""
"Capital"," Paneleiro de madeira","",""
"Capital"," Panendofibroscopio","",""
"Capital"," Pantografo","",""
"Capital"," Paquimetro","",""
"Capital"," Parafusadeira","",""
"Capital"," Paralela olimpica","",""
"Capital"," Paralela simetrica","",""
"Capital"," Pasteurizador","",""
"Capital"," Pau de fita","",""
"Capital"," Peca reta","",""
"Capital"," Pedal de alta rotacao","",""
"Capital"," Pedaleira para guitarra","",""
"Capital"," Pedestal para bandeira","",""
"Capital"," Pedestal para bongo","",""
"Capital"," Pedestal para conga","",""
"Capital"," Pedestal para microfone","",""
"Capital"," Pedestal para teclado","",""
"Capital"," Pen drive","",""
"Capital"," Peneira vibratoria sel.de pedras","",""
"Capital"," Penteadeira","",""
"Capital"," Perfurador de fio de kirchener","",""
"Capital"," Perfurador de papel","",""
"Capital"," Permutador de lp","",""
"Capital"," Piano","",""
"Capital"," Picador de galhos de arvores","",""
"Capital"," Picador de legumes","",""
"Capital"," Pintura oleo s/duratex","",""
"Capital"," Pintura oleo s/duratex circular","",""
"Capital"," Pintura oleo s/tela","",""
"Capital"," Pintura-acrilico s/tela","",""
"Capital"," Pirografo","",""
"Capital"," Piscina de bolinhas","",""
"Capital"," Pista para carrinho bate bate","",""
"Capital"," Pistao","",""
"Capital"," Pistola","",""
"Capital"," Pistola para lancamento de dardos","",""
"Capital"," Pistola para pintura","",""
"Capital"," Pistola para pulverizar","",""
"Capital"," Pistola para solda","",""
"Capital"," Placa vibratoria","",""
"Capital"," Placar eletronico","",""
"Capital"," Plaina","",""
"Capital"," Planimetro","",""
"Capital"," Plastificadora","",""
"Capital"," Plataforma auto socorro","",""
"Capital"," Plataforma de madeira","",""
"Capital"," Plataforma elevatoria","",""
"Capital"," Plataforma pantografica","",""
"Capital"," Plataforma vibratoria","",""
"Capital"," Playground","",""
"Capital"," Plicometro","",""
"Capital"," Plinto","",""
"Capital"," Plotter","",""
"Capital"," Pluviografo","",""
"Capital"," Pneumotacografo","",""
"Capital"," Polia superior","",""
"Capital"," Policorte","",""
"Capital"," Politriz","",""
"Capital"," Poltrona","",""
"Capital"," Poltrona de madeira","",""
"Capital"," Poltrona escolar individual","",""
"Capital"," Poltrona estofada","",""
"Capital"," Poltrona fixa","",""
"Capital"," Poltrona fixa de madeira","",""
"Capital"," Poltrona fixa estofada","",""
"Capital"," Poltrona fixa hospitalar","",""
"Capital"," Poltrona giratoria","",""
"Capital"," Poltrona individual","",""
"Capital"," Poltrona interlocutor","",""
"Capital"," Poltrona para auditorio","",""
"Capital"," Poltrona para cabeleireiro","",""
"Capital"," Poltrona reclinavel","",""
"Capital"," Poltrona universitaria","",""
"Capital"," Pontecia de som","",""
"Capital"," Pontiadeira","",""
"Capital"," Porta aquario","",""
"Capital"," Porta balanca","",""
"Capital"," Porta balde","",""
"Capital"," Porta banner","",""
"Capital"," Porta cartazes","",""
"Capital"," Porta chapeu","",""
"Capital"," Porta guarda chuvas","",""
"Capital"," Porta joias","",""
"Capital"," Porta jornais","",""
"Capital"," Porta livros","",""
"Capital"," Porta mapas","",""
"Capital"," Porta molde","",""
"Capital"," Porta plantas","",""
"Capital"," Porta revista","",""
"Capital"," Poste para rede de voleibol","",""
"Capital"," Prancha para abdominal","",""
"Capital"," Prancheta para desenho","",""
"Capital"," Prateleira","",""
