Aplicação do recurso,Especificação do material ou serviço
Capital,Esvrivaninha
Capital,Etiquetador
Capital,Etiquetadora
Capital,Evaporador rotativo
Capital,Exaustor
Capital,Exaustor para camara escura
Capital,Exercitador de tornozelo
Capital,Expansor hidraulico
Capital,Expositor de folders
Capital,Expositor giratorio
Capital,Extensão elétrica tipo totem
Capital,Extensor lombar
Capital,Extintor de incendio
Capital,Extrator de suco
Capital,Fagoto em do
Capital,Feeder seat
Capital,Ferro de engomar
Capital,Ferro de passar roupa
Capital,Fesvif
Capital,Fichario de aco
Capital,Filmadora
Capital,Filtro de agua
Capital,Filtro para piscina
Capital,Filtro prensa
Capital,Filtro regulador de ar
Capital,Finca pinos
Capital,Flanelografo
Capital,Flauta
Capital,Flautin
Capital,Flexor abdominal sentado
Capital,Flip chart
Capital,Floreira modulavel
Capital,Flugel horn
Capital,Fluorímetro
Capital,Fluxometro
Capital,Foco cirurgico
Capital,Fogao domiciliar
Capital,Fogao industrial
Capital,Fogareiro
Capital,Fone de cabeca
Capital,Fonte conversor
Capital,Fonte de alimentacao
Capital,Fonte estabilizadora
Capital,Forceps
Capital,Forma de molde farmaceutica
Capital,Forno
Capital,Forno de bier
Capital,Forno de microondas
Capital,Forno eletrico
Capital,Forno eletrico para ceramica
Capital,Forrador de botao
Capital,Fotocopiadora
Capital,Fotoestimulador
Capital,Fotoforo
Capital,Fotometro
Capital,Fotopolimerizador odontologico
Capital,Fragmentadora de papeis
Capital,Franqueadora de correspondencia
Capital,Freezer
Capital,Frequencimetro
Capital,Fresadora
Capital,Friabilômetro
Capital,Fritadeira
Capital,Fruteira
Capital,Furadeira
Capital,Furadeira de pedestal
Capital,Furadeira de tecido
Capital,Furador de azulejos
Capital,Furgao de aluminio
Capital,Gabarito
Capital,Gabinete
Capital,Gabinete acustico
Capital,Gabinete de pia
Capital,Gabinete de secagem
Capital,Gabinete kardex
Capital,Gaiola labirinto
Capital,Gaita
Capital,Gangorra
Capital,Ganza
Capital,Garrote pneumático
Capital,Gastroscopio
Capital,Gaveta de aco inoxidavel
Capital,Gaveteiro
Capital,Gaveteiro de aco
Capital,Gaveteiro de madeira
Capital,Gaveteiro volante
Capital,Geofone
Capital,Gerador de acetileno
Capital,Gerador de efeitos especiais para video
Capital,Gerador de forca
Capital,Gerador de ozona
Capital,Gerador de ozonio
Capital,Gerador de ruidos
Capital,Gerador de solda
Capital,Gerador eletrico
Capital,Gerador para raio x
Capital,Gerenciador gráfico
Capital,Gira gira
Capital,Giraplay
Capital,Globo de bingo
Capital,Globo terrestre
Capital,Glokenspiel
Capital,Gondola
Capital,Gongo
Capital,Gps
Capital,Gravador cassete
Capital,Gravador de audio
Capital,Gravador de cd
Capital,Gravador de dvd
Capital,Gravador de dvd e cd
Capital,Gravador de dvd externo
Capital,Gravador de fita cassete
Capital,Gravador de fita magnetica
Capital,Gravador de holter
Capital,Gravador de rolo
Capital,Gravador de som
Capital,Gravador de video
Capital,Gravador digital dvr
Capital,Gravador e reprodutor de mini disc
Capital,Gravadora de cd
Capital,Gravadora de estencil
Capital,Grupo gerador
Capital,Guara-roupa de aco
Capital,Guarda roupa
Capital,Guarda roupa de aco
Capital,Guarda roupa de madeira
Capital,Guarda rouppa de aco
Capital,Guarda tudo
Capital,Guarda volumes
Capital,Guarita
Capital,Guarita de fibra de vidro
Capital,Guilhotina
Capital,Guincho
Capital,Guincho tipo girafa
Capital,Guindaste
Capital,Guindaste veicular
Capital,Guitarra
Capital,Gyrotec
Capital,Hack 45
Capital,Hamper
Capital,Handie talkie
Capital,Handie-talkie-fm-220
Capital,Hard disk externo
Capital,Haste de escuta
Capital,Hidrolavadora universal
Capital,Hipro
Capital,Histerometro
Capital,Histotécnico
Capital,Home theater
Capital,Homogeneizador de sangue
Capital,Horodatador
Capital,Hoverboard skate flutuante
Capital,Hub
Capital,Identificador radiografico
Capital,Iluminador de led
Capital,Imitanciometro
Capital,Impedanciometro
Capital,Impressora
Capital,Impressora braille
Capital,Impressora plotter
Capital,Impressora termica
Capital,Inalador
Capital,Inclusor a vacuo
Capital,Incubador biologico
Capital,Incubadora
Capital,Instrumentos musicais
Capital,Insuflador
Capital,Intercomunicador
Capital,Interfone
Capital,Inversor
Capital,Inversor de frequencia
Capital,Inversor de polos
Capital,Inversor de tensao
Capital,Jet ski
Capital,Jogo de coordenatografo polar
Capital,Jogo de curvas
Capital,Jogo de estofado
Capital,Kardex de aco
Capital,Kart odontológico
Capital,Laminadora
Capital,Lanca
Capital,Lancha
Capital,Laparoscópico
Capital,Laptop
Capital,Laringoscopio
Capital,Lavadora de alta pressao
Capital,Lavadora de instrumentos cirurgico
Capital,Lavadora de microplacas
Capital,Lavadora de pecas
Capital,Lavadora de pisos
Capital,Leg press
Capital,Leitor de codigo de barras
Capital,Leitor de microficha
Capital,Leitor de microfilme
Capital,Leitor de tela braille
Capital,Leitor de transponder
Capital,Leitor optico
Capital,Leitora automática de microplacas
Capital,Lensometro
Capital,Line force
Capital,Liquidificador
Capital,Lira musical
Capital,Litotripsor
Capital,Livro
Capital,Lixadeira
Capital,Lixadeira automatica de rolo
Capital,Lixadeira orbital
Capital,Localizador apical
Capital,Localizador de metal
Capital,Longarina
Capital,Longarina para auditorio
Capital,Lousa
Capital,Luneta
Capital,Lupa eletronica
Capital,Luximetro
Capital,Maca
Capital,Macaco hidraulico
Capital,Macarico
Capital,Maçarico de corte
Capital,Maçarico de solda
Capital,Mancebo
Capital,Manequim
Capital,Manequim c/ pedestal de madeira
Capital,Manequin de madeira
Capital,Manometro
Capital,Manometro de mercurio
Capital,Manometro digital
Capital,Manometro indicador
Capital,Manometro seco
Capital,Mapoteca
Capital,Mapoteca de aco
Capital,Mapoteca de madeira
Capital,Maq. De franquear correspondencia
Capital,Maquete
Capital,Maquima fotografica
Capital,Maquina chimbau
Capital,Máquina copiadora de chaves
Capital,Maquina de  bolha de sabao
Capital,Maquina de acabamento de cabelo
Capital,Maquina de algodao doce
Capital,Maquina de arquear molas
Capital,Maquina de assinar
Capital,Maquina de back lapping
Capital,Maquina de bordar
Capital,Maquina de consertar camaras de ar
Capital,Maquina de contabilidade
Capital,Maquina de cortar azulejo
Capital,Maquina de cortar cabelo
Capital,Maquina de cortar ferro
Capital,Maquina de cortar frios
Capital,Maquina de cortar garrafas
Capital,Maquina de cortar isopor
Capital,Maquina de cortar pedra
Capital,Maquina de cortar pelicula refletiva
Capital,Maquina de cortar tecido
Capital,Maquina de corte de moldes
Capital,Maquina de costura
Capital,Maquina de desmontar pneu
Capital,Maquina de escerar
Capital,Maquina de escrever
Capital,Maquina de escrever eletrica
Capital,Maquina de escrever eletronica
Capital,Maquina de escrever em braille
Capital,Maquina de escrever mecanica
Capital,Maquina de estampar
Capital,Maquina de fabricar blocos
Capital,Maquina de fabricar lajotas
Capital,Maquina de fazer fralda
Capital,Maquina de fixar ilhos
Capital,Maquina de forrar botoes
Capital,Maquina de fumaca
Capital,Maquina de fumaça
Capital,Maquina de furar e rosquear
Capital,Maquina de furar rede em carga
Capital,Maquina de gelo
Capital,Maquina de imprimir em alto relevo
Capital,Maquina de lavar disco
Capital,Maquina de lavar louca
Capital,Maquina de lavar pecas
Capital,Maquina de lavar roupas
Capital,Maquina de raspar tacos c/ motor monofasico
Capital,Maquina de solda
Capital,Maquina de solda e corte
Capital,Maquina de suco
Capital,Maquina de trico
Capital,Maquina de xerox
Capital,Maquina desobstruidora de esgotos
Capital,Maquina fotografica
Capital,Maquina heliografica
Capital,Maquina impressora
Capital,Maquina impressora manual
Capital,Maquina impressora off-set
Capital,Maquina melheteira
Capital,Maquina p/fabricar blocos de concreto
Capital,Maquina para arquear
Capital,Maquina para bordar
Capital,Maquina para cartao magnetico
Capital,Maquina para confeccionar sacos
Capital,Maquina para desmontar pneu
Capital,Maquina para embalagem
Capital,Maquina para empatar mangueiras
Capital,Maquina para gravacao
Capital,Maquina para gravacao de livros
Capital,Maquina para imprimir em alto relevo
Capital,Maquina para personalizar
Capital,Maquina para projecao de plantas
Capital,Maquina para trabalhar marmore e granito
Capital,Maquina plastificadora eletrica
Capital,Maquina redutora
Capital,Maquina registradora
Capital,Maquina respigadeira
Capital,Maquina vacuum forming
Capital,Marcador de faltas
Capital,Marginador de papel
Capital,Martelete
Capital,Martelete perfurador
Capital,Mastro para bandeira
Capital,Mastros para rede de voley
Capital,Medidor de altura
Capital,Medidor de campo
Capital,Medidor de compressao
Capital,Medidor de condutividade
Capital,Medidor de diametro
Capital,Medidor de distância
Capital,Medidor de espessura
Capital,Medidor de icterícia
Capital,Medidor de nivel de som
Capital,Medidor de ph
Capital,Medidor de resistencia de terra
Capital,Medidor de tensao de correia
Capital,Medidor de vibracao
Capital,Medidor de voltagem
Capital,Medidor fotocolorimetrico
Capital,Megafone
Capital,Megatoscopio de mesa
Capital,Megometro
Capital,Melofone
Capital,Mesa
Capital,Mesa aero hockey
Capital,Mesa antropometrica
Capital,Mesa articulavel
Capital,Mesa auxiliar hospitalar
Capital,Mesa central infantil
Capital,Mesa chaveadora
Capital,Mesa cilindrica
Capital,Mesa cirurgica
Capital,Mesa controladora
Capital,Mesa de aco
Capital,Mesa de apoio
Capital,Mesa de atendimento
Capital,Mesa de bilhar
Capital,Mesa de cabeceira
Capital,Mesa de canto
Capital,Mesa de centro
Capital,Mesa de comando
Capital,Mesa de comando de raio x
Capital,Mesa de controle
Capital,Mesa de exame
Capital,Mesa de fibra de vidro
Capital,Mesa de formica
Capital,Mesa de higienizacao
Capital,Mesa de iluminacao
Capital,Mesa de luz
Capital,Mesa de madeira
Capital,Mesa de madeira infantil adaptada
Capital,Mesa de manicuri
Capital,Mesa de mayo
Capital,Mesa de merenda
Capital,Mesa de mixagem
Capital,Mesa de passar roupa
Capital,Mesa de pebolim
Capital,Mesa de ping pong
Capital,Mesa de reanimacao de recem nascidos
Capital,Mesa de reproducao
Capital,Mesa de som
Capital,Mesa de tamancobol
Capital,Mesa de trabalho
Capital,Mesa de xadres
Capital,Mesa digitalizadora
Capital,Mesa diva
Capital,Mesa elastica
Capital,Mesa empilhavel
Capital,Mesa ergonomica
Capital,Mesa escolar
Capital,Mesa escolar especial
Capital,Mesa executiva
Capital,Mesa expositora
Capital,Mesa ginecologica
Capital,Mesa infantil
Capital,Mesa lateral
Capital,Mesa mixadora
Capital,Mesa obstetrica
Capital,Mesa operadora
Capital,Mesa ortopedica
Capital,Mesa para cafe
Capital,Mesa para copa
Capital,Mesa para costura
Capital,Mesa para desenho
Capital,Mesa para exame clinico
Capital,Mesa para fisioterapia
Capital,Mesa para futebol de botao
Capital,Mesa para impressora
Capital,Mesa para maquina de escrever
Capital,Mesa para microcomputador
Capital,Mesa para microcomputador e impressora
Capital,Mesa para microfilmadora
Capital,Mesa para mimeografo
Capital,Mesa para necropsia
Capital,Mesa para pantografo
Capital,Mesa para posto de trabalho
Capital,Mesa para professor
Capital,Mesa para projecao
Capital,Mesa para raio x
Capital,Mesa para recepcao
Capital,Mesa para refeicao
Capital,Mesa para refeitorio
Capital,Mesa para reuniao
Capital,Mesa para silk screen
Capital,Mesa para telefone
Capital,Mesa para televisao e video
Capital,Mesa para terminal de teleprocessamento
Capital,Mesa para trabalho
Capital,Mesa para tv
Capital,Mesa para video e projetor
Capital,Mesa peninsular
Capital,Mesa plastica
Capital,Mesa plenario
Capital,Mesa rotativa para impressao
Capital,Mesa trapezoidal
Capital,Mesa universitaria de madeira
Capital,Metalofone
Capital,Meteorografo
Capital,Metronomo
Capital,Micro camera
Capital,Micro esterilizador
Capital,Micro ressuscitador
Capital,Micro trator
Capital,Microcomputador
Capital,Microfilmadora
Capital,Microfone
Capital,Microfone de lapela
Capital,Microfone de transmissao para transceptor fixo
Capital,Microfone sem fio
Capital,Micromotor odontológico
Capital,Microscopio
Capital,Microsystem
Capital,Micrótomo
Capital,Microverb 4
Capital,Mimeografo
Capital,Mini bloqueio
Capital,Mini bombeiro
Capital,Mini bugue
Capital,Mini gravador digital
Capital,Mini rack
Capital,Mini system
Capital,Mini trampolin
Capital,Minicomputador
Capital,Mira direta
Capital,Mira invertida de madeira
Capital,Misturador de microfones
Capital,Misturador de som
Capital,Misturador forcado para argamasssa
Capital,Mixer
Capital,Mocho odontológico
Capital,Modelo para anatomia animal
Capital,Modelo para anatomia humana
Capital,Modem
Capital,Modulo de potencia
Capital,Modulo dimmer
Capital,Moedor de carne
Capital,Moldura com espelho
Capital,Monitor cardiaco
Capital,Monitor de audio e video
Capital,Monitor de circuito interno de tv
Capital,Monitor de frequencia cardiaca
Capital,Monitor de gases anestésicos
Capital,Monitor de glicemia
Capital,Monitor de linhas
Capital,Monitor de radiologia
Capital,Monitor de ventilacao
Capital,Monitor de video
Capital,Monitor de video para camera de televisao
Capital,Monitor fetal
Capital,Monitor multiparametrico
Capital,Monitor para camera de seguranca
Capital,Monitor para microcomputador
Capital,Monitor para servidor
Capital,Monitor para ultra som
Capital,Monobloco frigorífico
Capital,Monociclo
Capital,Montadora e desmontadora de pneus
Capital,Morsa
Capital,Moto
Capital,Moto esmeril
Capital,Motobomba
Capital,Motobomba hidraulica
Capital,Motocicleta
Capital,Motoniveladora
Capital,Motopodadeira
Capital,Motoserra
Capital,Mp4
Capital,Multi exercitador
Capital,Multigate
Capital,Multimetro
Capital,Multiprocessador
Capital,Multiprocessador de efeitos de audio
Capital,Multitest
Capital,Mural
Capital,Nasofaringolaringoscopio
Capital,Nefroscópio
Capital,Negatoscopio
Capital,Netebook
Capital,Nobelfone
Capital,Nobreak
Capital,Normografo
Capital,Notebook
Capital,Numerador automatico
Capital,Numerador para marcar pneus
Capital,Oboe
Capital,Obra de arte
Capital,Oftalmometro
Capital,Oftalmoscopio
Capital,Oftalmoscopio de coluna
Capital,Oleo s/duratex circular
Capital,Oleo s/tela
Capital,Ombrelone suspenso
Capital,Onibus
Capital,Oratorio
Capital,Organizador de brinquedos
Capital,Orquidômetro
Capital,Osciloscopio
Capital,Oto oftalmoscopio
Capital,Otocalorimetro
Capital,Otoscopio
Capital,Oximetro
Capital,Oxitenda
Capital,Painel confeccionado em duratex e madeira
Capital,Painel de aco
Capital,Painel de eucatex c/moldura de madeira
Capital,Painel de madeira
Capital,Painel de mensagem
Capital,Painel de parede
Capital,Painel de processamento
Capital,Painel eletronico
Capital,Painel expositor
Capital,Painel fotografico
Capital,Painel para exposicao
Capital,Painel para uti
Capital,Painel psicomotor
Capital,Painel video wall
Capital,Palco
Capital,Palete de madeira
Capital,Palm top
Capital,Palvilhadeira
Capital,Pandeiro
Capital,Panela de pressao industrial
Capital,Panela eletrica
Capital,Panela ortodontica
Capital,Paneleiro
Capital,Paneleiro de madeira
Capital,Panendofibroscopio
Capital,Pantografo
Capital,Paquimetro
Capital,Parafusadeira
Capital,Paralela olimpica
Capital,Paralela simetrica
Capital,Paredao de lona tri tennis
Capital,Pasteurizador
Capital,Pau de fita
Capital,Peca reta
Capital,Pedal de alta rotacao
Capital,Pedaleira para guitarra
Capital,Pedestal para bandeira
Capital,Pedestal para bongo
Capital,Pedestal para conga
Capital,Pedestal para microfone
Capital,Pedestal para teclado
Capital,Pélvis feminina
Capital,Peneira vibratoria sel.de pedras
Capital,Penteadeira
Capital,Perfurador de fio de kirchener
Capital,Perfurador de solo
Capital,Perfurador de solo tratorizado
Capital,Permutador de lp
Capital,Perneira
Capital,Piano
Capital,Picador de galhos de arvores
Capital,Picador de legumes
Capital,Pintura oleo s/duratex
Capital,Pintura oleo s/duratex circular
Capital,Pintura oleo s/tela
Capital,Pintura-acrilico s/tela
Capital,Pipoqueira
Capital,Pirografo
Capital,Piscina de bolinhas
Capital,Pista para carrinho bate bate
Capital,Pistao
Capital,Pistola
Capital,Pistola de água e ar comprimido
Capital,Pistola para lancamento de dardos
Capital,Pistola para pintura
Capital,Pistola para pulverizar
Capital,Placa refrigerada
Capital,Placa vibratoria
Capital,Placar de mesa
Capital,Placar eletronico
Capital,Plaina
Capital,Planetario escolar
Capital,Planimetro
Capital,Plastificadora
Capital,Plataforma auto socorro
Capital,Plataforma de madeira
Capital,Plataforma elevatoria
Capital,Plataforma pantografica
Capital,Plataforma vibratoria
Capital,Playground
Capital,Plicometro
Capital,Plinto
Capital,Plotter
Capital,Pluviografo
Capital,Pneumotacografo
Capital,Polia alta articulada
Capital,Polia superior
Capital,Policorte
Capital,Polidora quimica
Capital,Politriz
Capital,Poltrona
Capital,Poltrona de madeira
Capital,Poltrona escolar individual
Capital,Poltrona estofada
Capital,Poltrona fixa
Capital,Poltrona fixa de madeira
Capital,Poltrona fixa estofada
Capital,Poltrona fixa hospitalar
Capital,Poltrona giratoria
Capital,Poltrona individual
Capital,Poltrona interlocutor
Capital,Poltrona para auditorio
Capital,Poltrona para cabeleireiro
Capital,Poltrona reclinavel
Capital,Poltrona universitaria
Capital,Pontecia de som
Capital,Pontiadeira
Capital,Porta aquario
Capital,Porta balanca
Capital,Porta balde
Capital,Porta banner
Capital,Porta cartazes
Capital,Porta chapeu
Capital,Porta guarda chuvas
Capital,Porta joias
Capital,Porta jornais
Capital,Porta livros
Capital,Porta mapas
Capital,Porta molde
Capital,Porta plantas
Capital,Porta revista
Capital,Poste para rede de voleibol
Capital,Prancha de emergência
Capital,Prancha para abdominal
Capital,Prancheta para desenho
Capital,Prateleira
Capital,Prateleira de aco
Capital,Prateleira de madeira
Capital,Prateleira inclinada
Capital,Pre-amplificador
Capital,Pre-dolby
Capital,Prensa
Capital,Prensa de ferro
Capital,Prensa de madeira
Capital,Prensa hidraulica
Capital,Preparador de alimentos
Capital,Press lateral
Capital,Press peitoral graduado
Capital,Pressao de pernas
Capital,Pressostato
Capital,Processador de alimentos
Capital,Processador de efeitos
Capital,Processador de voz
Capital,Processador digital
Capital,Processadora automatica para raio x
Capital,Processadora de microfilme
Capital,Processadora para endoscopia
Capital,Processadora para raio x
Capital,Profilax
Capital,Programador horario
Capital,Projetor de filmes
Capital,Projetor de imagens
Capital,Projetor de multimidia
Capital,Projetor de optotipos
Capital,Projetor de slides
Capital,Projetor de som
Capital,Projetor elipsoidal
Capital,Projetor fresnel
Capital,Projetor hermetico
Capital,Projetor multimidia
Capital,Projetor oftalmologico
Capital,Pro-mixer
Capital,Propulsora de graxa
Capital,Propulsora de oleo
Capital,Psofometro
Capital,Pulpito
Capital,Pulverizador
Capital,Pupilometro de reflexo corneano
Capital,Purificador de agua
Capital,Puxada alta
Capital,Quadriplicador de imagens
Capital,Quadro branco
Capital,Quadro com mapa
Capital,Quadro de aviso
Capital,Quadro de chaves
Capital,Quadro de editais
Capital,Quadro de madeira
Capital,Quadro de metal
Capital,Quadro de ordens
Capital,Quadro decorativo
Capital,Quadro imantado
Capital,Quadro interativo
Capital,Quadro mural
Capital,Quadro negro
Capital,Quadro para flip-shart
Capital,Quadro para plantas
Capital,Quadro para tchoukball
Capital,Queixada
Capital,Quiosque
Capital,Rack
Capital,Rack de iluminacao
Capital,Rack de madeira
Capital,Rack para datacenter
Capital,Rack para som
Capital,Rack para transceptor movel
Capital,Rack unidade de acessorios central p/telefones ks
Capital,Rádio
Capital,Radio comunicador
Capital,Radio gravador
Capital,Rádio portátil
Capital,Radio transmissor
Capital,Radiofoto digital
Capital,Radiometro
Capital,Reanimador
Capital,Rebarbador de cilindros
Capital,Rebitadeira
Capital,Rebitadeira para lona de freio
Capital,Rebitador
Capital,Rebobinador de filme
Capital,Rebolo
Capital,Recarregador
Capital,Receptor
Capital,Receptor de satelite
Capital,Receptor gps
Capital,Receptor para antena parabolica
Capital,Receptor para microfone
Capital,Receptor para microfone lapela
Capital,Receptor para microfone sem fio
Capital,Receptor uhf
Capital,Recipientes para oleo
Capital,Reco reco
Capital,Recortador de gesso
Capital,Redutor a rosca
Capital,Redutor de velocidade
Capital,Refiladora de papel
Capital,Refletor
Capital,Refletor odontologico
Capital,Refletor parabolico
Capital,Refrator oftalmologico
Capital,Refresqueira
Capital,Refrigerador
Capital,Registrador de excesso de velocidade
Capital,Registrador de pressao manometrica
Capital,Registrador de violacao de faixa de retencao
Capital,Registrador pneumatico de pressao
Capital,Regua antropometrica
Capital,Regua de som
Capital,Régua escano gráfica
Capital,Regulador automatico de pressao
Capital,Regulador de acetileno
Capital,Regulador de oxigenio
Capital,Regulador de pressao
Capital,Regulador de tensao
Capital,Regulador de vacuo
Capital,Relogio
Capital,Relogio datador
Capital,Relogio de parede
Capital,Relogio de ponto
Capital,Relogio de vigia
Capital,Relogio de xadrez
Capital,Relogio horodatador
Capital,Relogio protocolador
Capital,Relógio sinaleiro
Capital,Relogio time para tratamento
Capital,Remada
Capital,Remada sentada
Capital,Renovador de ar
Capital,Repinique
Capital,Repique
Capital,Reprodutor de imagens
Capital,Repuxadora de lataria
Capital,Requinta
Capital,Resfriador
Capital,Resfriador posterior
Capital,Respigadeira
Capital,Respirador
Capital,Respirador artificial
Capital,Respirador eletronico
Capital,Ressucitador
Capital,Resusci-anne
Capital,Retificadeira
Capital,Retificador
Capital,Retificador de baterias
Capital,Retificador de forca
Capital,Retificador de solda
Capital,Retificador para pabx
Capital,Retificadora pneumatica
Capital,Retinoscopio
Capital,Retinoscopio de coluna
Capital,Retroescavadeira
Capital,Retroprojetor
Capital,Revisteiro
Capital,Revolver
Capital,Revolver finca pinos
Capital,Revolver para graxa
Capital,Roca
Capital,Roca de pedal
Capital,Roca eletrica
Capital,Roçadeira
Capital,Roçadeira agrícola
Capital,Roda de ombro
Capital,Roda gigante
Capital,Roda panoramica
Capital,Rolo compactador
Capital,Ropueiro de aco
Capital,Rosca apoiada scott
Capital,Rotacao dupla diagonal
Capital,Rotacao vertical
Capital,Roteador
Capital,Rotor de aeracao
Capital,Rotulador
Capital,Roupeiro
Capital,Roupeiro de aco
Capital,Roupeiro de madeira
Capital,Router
Capital,Saca polia
Capital,Salpingografos
Capital,Sanduicheira
Capital,Sangrador de freios
Capital,Sanitizadora
Capital,Sarrafo para salto em altura
Capital,Sax
Capital,Sax alto
Capital,Sax baritono
Capital,Sax genis
Capital,Sax horn
Capital,Sax soprano
Capital,Sax tenor
Capital,Saxhorn alto
Capital,Saxofone
Capital,Saxofone alto
Capital,Saxofone tenor
Capital,Scanman
Capital,Scanner
Capital,Secador de ar comprimido
Capital,Secador de cabelo
Capital,Secador de mao
Capital,Secador radiografico
Capital,Secadora de filmes
Capital,Secadora de papel
Capital,Secadora de roupas
Capital,Secadora de traquéia
Capital,Secadora para fotografias
Capital,Secretaria eletronica
Capital,Segador rotativo
Capital,Sensitometro
Capital,Sensor de presença
Capital,Seriografo para raio x
Capital,Serra
Capital,Serra circular
Capital,Serra de disco
Capital,Serra de esquadria
Capital,Serra de fita
Capital,Serra fixa
Capital,Serra helicorte
Capital,Serra manual
Capital,Serra marmore
Capital,Serra mecanica
Capital,Serra para ferro
Capital,Serra para gesso
Capital,Serra tico tico
Capital,Servidor
Capital,Servidor de rede
Capital,Servo ventilador
Capital,Set de prato
Capital,Shamporizador para lava rapido
Capital,Simetrografo
Capital,Simulador de caminhada
Capital,Simulador de cavalgada
Capital,Simulador manequim
Capital,Sincronizador para projetor
Capital,Sintonizador
Capital,Sistema de vídeo para endourologia
Capital,Sistema fotodocumentação de géis
Capital,Smith machine
Capital,Socador de piso
Capital,Sofa
Capital,Sofanete
Capital,Soft start
Capital,Soldadora
Capital,Sommier
Capital,Sonar
Capital,Sonic borden para ultrassom odontológico
Capital,Sonophasys
Capital,Soprador termico
Capital,Souzafones
Capital,Steps
Capital,Stereo cassette deck
Capital,Stereo tuner
Capital,Storage
Capital,Strobo
Capital,Submarino
Capital,Sulcador de linha
Capital,Supino
Capital,Suporte com regulador de pressao
Capital,Suporte de aco
Capital,Suporte de hamper
Capital,Suporte de instrumento musical
Capital,Suporte de madeira para espelho tipo envernizado
Capital,Suporte de madeira para modelo de manequim
Capital,Suporte metalico p/mastros de bandeiras
Capital,Suporte movel para montar motor
Capital,Suporte p/ estufa
Capital,Suporte para anilhas
Capital,Suporte para bandeira
Capital,Suporte para banner
Capital,Suporte para bobina
Capital,Suporte para braco
Capital,Suporte para cabide
Capital,Suporte para caixa de som
Capital,Suporte para chapeu
Capital,Suporte para cpu
Capital,Suporte para cpu e estabilizador
Capital,Suporte para esterilizador
Capital,Suporte para flanelografo
Capital,Suporte para furadeira
Capital,Suporte para maca
Capital,Suporte para maquiagem
Capital,Suporte para microcomputador
Capital,Suporte para microondas
Capital,Suporte para monitor de microcomputador
Capital,Suporte para motores
Capital,Suporte para nobreak
Capital,Suporte para partitura musical
Capital,Suporte para perna
Capital,Suporte para projetor de imagens
Capital,Suporte para respiratorio
Capital,Suporte para saco hamper
Capital,Suporte para soro
Capital,Suporte para tecido
Capital,Suporte para teclado
Capital,Suporte para teleradiografia
Capital,Suporte para tv
Capital,Suporte para tv e dvd
Capital,Suporte para tv e video
Capital,"Suporte para tv,video e dvd"
Capital,Suporte para urna funeraria
Capital,Surdo
Capital,Surdo medio
Capital,Surdo mor
Capital,Switch
Capital,Tabela de basquetebol
Capital,Tabela de mini-basquete
Capital,Tablet
Capital,Tabua de avd
Capital,Tabua de passar roupa
Capital,Tabua de quadriceps
Capital,Tabua proprioceptiva
Capital,Tabuleiro de xadrez gigante
Capital,Tacografo
Capital,Tacômetro
Capital,Tambor musical
Capital,Tamborete
Capital,Tamborete giratorio
Capital,Tamborim
Capital,Tanque de formulacao
Capital,Tanque de revelacao de filmes
Capital,Tanque de revelacao triplex
Capital,Tanque estacionario
Capital,Tanque estacionario p/armaz.de asfalto
Capital,Tanque para transporte de agua
Capital,Tanque pulverizador
Capital,Tanquinho para lavar roupas
Capital,Tape deck
Capital,Tape drive
Capital,Teatro de fantoche
Capital,Teclado musical
Capital,Tecnigrafo
Capital,Tela cinematografica
Capital,Tela para projecao
Capital,Telelupa monocular
Capital,Telemedidor para tanque de combustivel
Capital,Televisao de madeira
Capital,Televisor
Capital,Televisor de lcd
Capital,Televisor de plasma
Capital,Tenda de oxigenio
Capital,Tenda pantográfica
Capital,Tenda piramidal
Capital,Teodolito
Capital,Terminal de auto atendimento
Capital,Terminal de microcomputador
Capital,Termocauterio
Capital,Termocera
Capital,Termohigrografo
Capital,Termohigrometro
Capital,Termometro de globo
Capital,Termometro de globo digital
Capital,Termômetro infravermelho
Capital,Termonebulizador
Capital,Termoseladora
Capital,Terraceador agrícola de arrasto
Capital,Testador de bicos injetores
Capital,Testador de cabos
Capital,Testador de induzido
Capital,Testador de modem
Capital,Testador de motor de partida
Capital,Testador de semicondutores
Capital,Teste freio
Capital,Thin client
Capital,Timba
Capital,Timbale
Capital,Timbau
Capital,Timer
Capital,Timpano
Capital,Toalheiro
Capital,Toca discos
Capital,Toca fitas
Capital,Tonometro
Capital,Tonometro de aplanacao
Capital,Torno de bancada
Capital,Torno eletrico
Capital,Torno giratorio
Capital,Torno mecanico
Capital,Torno para encanador
Capital,Torno para madeira
Capital,Torno para modelagem de barro
Capital,Torquimetro
Capital,Torradeira de farinha
Capital,Torso
Capital,Totem com monitor de reconhecimento facial
Capital,Totem para alcool em gel
Capital,Traçador grafico
Capital,Trampolim
Capital,Tranceiver
Capital,Transceptor fixo
Capital,Transceptor movel
Capital,Transceptor portatil
Capital,Transcoder
Capital,Transcodificador de sinais
Capital,Transformador
Capital,Transformador de voltagem
Capital,Transformador para raio x
Capital,Transformador para solda
Capital,Transiluminador
Capital,Transmissor de sinal
Capital,Transmissor para instrumentos musicais
Capital,Transmissor para microfone
Capital,Transmissor para microfone sem fio
Capital,Transportador mecanico continuo
Capital,Trator
Capital,Trator automatico
Capital,Treinador de fala
Capital,Treinador de fala coletivo
Capital,Treinador de fala pararitimo
Capital,Treliça box truss
Capital,Triangulo
Capital,Triciclo
Capital,Trijato com exaustor
Capital,Tripé
