Aplicação do recurso,Especificação do material ou serviço
Capital,Aparelho de fotopolimerizador
Capital,Aparelho de fototerapia
Capital,Aparelho de infra vermelho
Capital,Aparelho de ionizacao
Capital,Aparelho de jateamento por succao
Capital,Aparelho de laser microprocessado
Capital,Aparelho de laserterapia
Capital,Aparelho de mamografia
Capital,Aparelho de mergulho
Capital,Aparelho de microcorrentes
Capital,Aparelho de mp3
Capital,Aparelho de ondas curtas
Capital,Aparelho de osmose reversa
Capital,Aparelho de perfilagem eletrica
Capital,Aparelho de profilaxia
Capital,Aparelho de raio laser
Capital,Aparelho de raio x
Capital,Aparelho de retifica de valvulas
Capital,Aparelho de som
Capital,Aparelho de telex
Capital,Aparelho de treinamento de fala
Capital,Aparelho de ultra som
Capital,Aparelho de videoke
Capital,Aparelho diatermia
Capital,Aparelho durômetro
Capital,Aparelho facial
Capital,Aparelho fonte de alimentacao regulada
Capital,Aparelho fotopolimerizador
Capital,Aparelho fumigador
Capital,Aparelho gerador de ozonio
Capital,Aparelho headset
Capital,Aparelho hidropneumatico
Capital,Aparelho homogenizador
Capital,Aparelho infra-vermelho
Capital,Aparelho mini-doppler
Capital,Aparelho nebulizador
Capital,Aparelho para aspiracao
Capital,Aparelho para bioquimica
Capital,Aparelho para descontaminacao
Capital,Aparelho para leitura
Capital,Aparelho para lixar pe
Capital,Aparelho para medir pressao arterial
Capital,Aparelho para telemarketing
Capital,Aparelho para teste de telefone
Capital,Aparelho para teste ergometrico
Capital,Aparelho para urodinâmica
Capital,Aparelho pbx
Capital,Aparelho phlebo press
Capital,Aparelho rebobinador
Capital,Aparelho reprodutor feminino tridimensional
Capital,Aparelho reprodutor masculino tridimensional
Capital,Aparelho ressucitador pulmotor
Capital,Aparelho sequencial
Capital,Aparelho spinlight
Capital,Aparelho telefonico
Capital,Aparelho telefonico ks
Capital,Aparelho telefonico pabx
Capital,Aparelho telefonico sem fio
Capital,Aparelho tens
Capital,Aparelho terminal ks inteligente
Capital,Aparelho tira mofo
Capital,Aparelho tirfor
Capital,Aparelho vibrador de gesso
Capital,Aplicador de cera
Capital,Aplicador de cola
Capital,Aplicador de ligadura
Capital,Appliance
Capital,Aquecedor de agua
Capital,Aquecedor de agua a gas
Capital,Aquecedor de ambiente
Capital,Aquecedor de fluido
Capital,Aquecedor de mamadeira
Capital,Aquecedor de marmitas
Capital,Aquecedor elétrico para confecção de órteses
Capital,Aquecedor infra vermelho
Capital,Arado
Capital,Arara
Capital,Arco cirúrgico
Capital,Armario
Capital,Armario auxiliar
Capital,Armario de aco
Capital,Armario de madeira
Capital,Armario de parede
Capital,Arqueadeira
Capital,Arqueadora de molas
Capital,Arquibancada
Capital,Arquivo de aco
Capital,Arquivo de madeira
Capital,Arquivo deslizante
